block_id,seed_block,arm,tool_sequence,provider_calls,network_calls,intervention_component,intervention_activated,holdout_loss,target_reached,target_generation,trials_to_target,right_censor_trials,total_trials,completed_trials,terminal_failure_trials,recovered_trials,failure_rate,recovery_rate,evidence_completeness_rate,result_metrics_sha256,outcome_sha256
3,8300,no_observed_outcome_reflection,constrained_mobo>optimizer_portfolio>optimizer_portfolio>optimizer_portfolio,4,0,observed_outcome_reflection,True,0.9006,False,,,63,63,63,0,0,0.0,,1.0,f210aa148f57618db2551101627eeb5d0236734faa622ae72260413ed5703611,3828a157c30b4d4bd30fb904d0971a6514826b08205c027e244f3ab559ec8cef
3,8300,fixed_deterministic_portfolio,optimizer_portfolio>optimizer_portfolio>optimizer_portfolio>optimizer_portfolio,0,0,harness_router,True,0.7889,True,3,110,,118,118,0,0,0.0,,1.0,46a9b9f7f1bf4baeec60edded9dced5a34318883d7f71ab56d68250e3557449b,e48b451694a068d76323e00b5eaa15b7046a4bba264b3dc93a106f69129477c2
4,9400,full_aurora,constrained_mobo>turbo>optimizer_portfolio>turbo,4,0,none,False,0.8588,True,3,61,,65,65,0,0,0.0,,1.0,b55afa6b5b9cd6c6c45bbdcc478f7334fb0d5c44be2c7a9e46c45b93c3862708,1f7c581b7ed75e219a1743d6d552617a9612bb7cae0f65854aa4157ff5454f92
4,9400,no_decision_memory,constrained_mobo>optimizer_portfolio>optimizer_portfolio>optimizer_portfolio,4,0,decision_memory,True,0.8354,True,3,75,,79,79,0,0,0.0,,1.0,299c83faa1c16a836fa9d9052f37b89dd8d78c6f31118891a6028c94e5e4acde,d95758661f24afd2012e159ff68235146f28d419c2852c4bf1b77bc9f4491134
4,9400,no_observed_outcome_reflection,constrained_mobo>optimizer_portfolio>optimizer_portfolio>optimizer_portfolio,4,0,observed_outcome_reflection,True,0.8354,True,3,75,,79,79,0,0,0.0,,1.0,299c83faa1c16a836fa9d9052f37b89dd8d78c6f31118891a6028c94e5e4acde,d95758661f24afd2012e159ff68235146f28d419c2852c4bf1b77bc9f4491134
4,9400,fixed_deterministic_portfolio,optimizer_portfolio>optimizer_portfolio>optimizer_portfolio>optimizer_portfolio,0,0,harness_router,True,0.9601,True,2,74,,118,118,0,0,0.0,,1.0,8d0341a79e2767ce637ea417fb0b1435f6924012b4c553d1ed41030eee9c68f8,c71600a42c85fe260b32751a965a3c035dba44cd6315f49587d73cdff1e0a6d2
5,10500,full_aurora,constrained_mobo>turbo>optimizer_portfolio>turbo,4,0,none,False,0.8245,True,4,66,,66,66,0,0,0.0,,1.0,102238c2829b54d1dbe222b86ba0a4d61cff4c54c68af1528aada1f5cafd29cf,27943e3a68e57aeb3dae3758f353f2dc2682bbef50b0ad932dae4a20c30dd17f
5,10500,no_decision_memory,constrained_mobo>optimizer_portfolio>optimizer_portfolio>optimizer_portfolio,4,0,decision_memory,True,0.8045,True,3,59,,63,63,0,0,0.0,,1.0,08e42b71087f497112e81d5a55d7429770e41a5d91aa7dc1e4b90ea297e44b49,6cbc9a5679bb6d5d5a9ea62ec03270f8efb6f46408f1d8262954ca4510713213
5,10500,no_observed_outcome_reflection,constrained_mobo>optimizer_portfolio>optimizer_portfolio>optimizer_portfolio,4,0,observed_outcome_reflection,True,0.8045,True,3,59,,63,63,0,0,0.0,,1.0,08e42b71087f497112e81d5a55d7429770e41a5d91aa7dc1e4b90ea297e44b49,6cbc9a5679bb6d5d5a9ea62ec03270f8efb6f46408f1d8262954ca4510713213
5,10500,fixed_deterministic_portfolio,optimizer_portfolio>optimizer_portfolio>optimizer_portfolio>optimizer_portfolio,0,0,harness_router,True,0.8214,True,2,75,,119,119,0,0,0.0,,1.0,a96f611a9839567414f6cccba8bf4435131751a31312307d7c259f1627f06c2f,cd0a145ae7ef4d381d07ca9ac14dc712c1471652aed0a1e51e78bbf06e33db49
